Tue Jul 20 19:06:30 2021    profile.txt

         27953028 function calls (27862936 primitive calls) in 12.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      264    0.001    0.000    0.048    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/ticker.py:2262(__call__)
        1    0.000    0.000    0.048    0.048 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/__init__.py:1(<module>)
   123973    0.034    0.000    0.048    0.000 {built-in method builtins.getattr}
      991    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     6732    0.029    0.000    0.048    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
     1386    0.002    0.000    0.048    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/lines.py:1093(set_linewidth)
  992/991    0.003    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
   229583    0.047    0.000    0.047    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/graph.py:1158(has_edge)
1809/1776    0.008    0.000    0.046    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/transforms.py:1089(get_points)
      747    0.006    0.000    0.046    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/decorator.py:162(make)
      373    0.001    0.000    0.046    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/decorator.py:224(decorate)
     1914    0.002    0.000    0.046    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2046(clip)
     3043    0.016    0.000    0.046    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/isomorphism/isomorphvf2.py:395(syntactic_feasibility)
       11    0.001    0.000    0.045    0.004 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:1452(pprint_setters)
      396    0.002    0.000    0.045    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:773(clear)
      264    0.001    0.000    0.044    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/ticker.py:2266(tick_values)
